order	Early(mean)	Early(2SD)	Late(mean)	Late(2SD)
1.0	0.953588673341275	0.008595579319702337	0.2607140562698826	0.017254160188702104
2.0	1.0141809867546514	0.008979123299817588	0.5918305175646007	0.028253367109166514
3.0	0.9916054119121042	0.006124898465373466	0.8763753063029975	0.02906403814915608
4.0	1.0039002052207182	0.002584921159609516	1.038424817941562	0.020553934378873952
5.0	0.998959193045361	0.0004913624376672983	1.0793542757878463	0.009045213416728964
6.0	0.9998527475024702	0.0006532208605347047	1.0510312681856295	0.0069373856617863
7.0	1.0003469962761633	0.000551939905748348	1.0091228899564666	0.009207068512325946
8.0	0.9997861794346854	0.0002551381576138228	0.984720819890597	0.006939248263821719
9.0	1.0000699553950738	6.139326142800831e-5	0.9821284275465371	0.0029761647884100906
10.0	1.0000026550023873	6.1009593469151404e-5	0.9912425872690083	0.0027872931582654625
11.0	0.999979973660565	5.253812782984886e-5	1.0007637974455728	0.003348294920191673
12.0	1.0000141865838916	2.5257273225349547e-5	1.005032587872062	0.0022223663099156217
13.0	0.9999947838107768	7.379733505901587e-6	1.0042509294785742	0.0009170478063477607
14.0	1.0000000346032965	6.710692780647683e-6	1.001386083630713	0.0011753196921416823
15.0	1.0000014226034983	5.461294133638867e-6	0.9991155778847552	0.0011870605351638021
16.0	0.9999989151444981	2.6099300794417604e-6	0.9984594047993427	0.0006603993818441799
17.0	1.0000004166021845	9.272819001589399e-7	0.9990153259989247	0.0003393882964601572
18.0	0.9999999962605541	8.227070736508782e-7	0.9998793528047212	0.0004773912416539041
19.0	0.9999998815588155	6.062293413752444e-7	1.0004037723761017	0.0003968752942141865
20.0	1.0000000913447435	2.828354021590019e-7	1.0004452819292053	0.00018501388808980554
